Name,Human,Gender,Age,Political.Party,Studied.Science,Seq.1,Seq.2,Seq.3,Seq.4,Seq.5,Seq.6,Seq.7,Seq.8,Seq.9,Seq.10
A,Yes,Female,21,Democrat,Yes,2789956111,1366759287,7635557721,9422606787,5705422787,2967210348,9756780291,5497651238,4591268881,4295565751
B,Yes,Female,21,Democrat,Yes,4985720117,6590031429,6404098972,2314564259,8712385119,1203343473,5645786902,1985763498,7050413427,6802232476
C,Yes,Male,49,Republican,Yes,6221014971,4179819803,2317891995,1908913123,5079181795,6481046253,2957108139,1221316015,4620378902,8763219721
D,Yes,Female,20,Democrat,Yes,2438509376,1845910348,2071394705,1893526313,5724680516,2739152704,1637923840,6932674084,6905183951,8390649135
E,Yes,Male,21,Democrat,Yes,1865318579,9987412378,1721834778,1321865554,1980874319,8700918782,1384794786,5431821870,8479871231,4798218976
F,Yes,Female,20,Democrat,No,1547869073,5841290825,4613798534,6871045978,2103776154,9626598215,4065982138,7596053467,9283153469,8218083509
G,Yes,Female,55,Democrat,No,5321987643,8572104379,6582101543,2698385421,9032678420,9781234569,1273890865,2948320473,2869720143,2786201479
H,Yes,Female,20,Independent,Yes,5347783255,3109633127,8268312985,5310000083,2197428801,3492187443,1937655554,3287690501,0807077639,4790231528
I,Yes,Female,20,Democrat,Yes,9713245173,0080124668,3079346055,4378891022,4866601347,8803412379,0012246468,4327999983,9160722255,1538991224
J,Yes,Female,18,Republican,No,5791214259,6348254913,4267689421,7432087910,6846437980,1587421634,6794323564,2983159426,7937842105,2343676521